Brand,TYB Members,Tier,Category,Est Company Size,ICP Title 1,ICP Title 2,Notes,LinkedIn Search URL
Rare Beauty,241416,Mega,Beauty,100–500,Head of Community,VP Marketing,"Selena Gomez brand ~200 employees community-first",https://www.linkedin.com/search/results/people/?keywords=rare+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Glossier,220747,Mega,Beauty,100–500,Head of Community,VP Marketing,"~100 employees post-layoffs new CEO Colin Walsh",https://www.linkedin.com/search/results/people/?keywords=glossier+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Saie,162872,Mega,Beauty,50–200,Head of Community,VP Brand,"Clean beauty ~50 employees heavy IRL events",https://www.linkedin.com/search/results/people/?keywords=saie+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Bubble,158601,Mega,Skincare,50–200,Head of Community,VP Brand,"Gen Z skincare ~80 employees target demographic is your ICP",https://www.linkedin.com/search/results/people/?keywords=bubble+skincare+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
SET,152970,Mega,Fashion,50–200,VP of Marketing,Director of Community,"SET Active ~50 employees strong community events",https://www.linkedin.com/search/results/people/?keywords=set+active+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
BYOMA,145357,Mega,Skincare,20–80,Head of Community,VP Brand,"Barrier skincare ~30 employees fast-growing",https://www.linkedin.com/search/results/people/?keywords=byoma+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
OUAI,117764,Mega,Haircare,50–200,Head of Community,VP Marketing,"P&G brand ~100 employees strong community investment",https://www.linkedin.com/search/results/people/?keywords=ouai+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Milk Makeup,110765,Mega,Beauty,50–200,Head of Community,VP Marketing,"LVMH-owned ~100 employees NYC-based",https://www.linkedin.com/search/results/people/?keywords=milk+makeup+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Mario Badescu,96778,Large,Skincare,20–80,Head of Community,Director of Brand Partnerships,"Family brand ~50 employees uses TYB for product sampling",https://www.linkedin.com/search/results/people/?keywords=mario+badescu+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Topicals,77448,Large,Skincare,20–80,Head of Community,Director of Brand Partnerships,"~30 employees moved ambassador program to TYB",https://www.linkedin.com/search/results/people/?keywords=topicals+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
poppi,62799,Large,Food & Bev,50–200,VP Marketing,Director of Experiential,"~80 employees sold to PepsiCo events-forward brand",https://www.linkedin.com/search/results/people/?keywords=poppi+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
eos,57852,Large,Personal Care,50–200,Head of Community,Director of Marketing,"~100 employees Gen Z-focused TikTok native",https://www.linkedin.com/search/results/people/?keywords=eos+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Dieux,50251,Large,Skincare,10–50,Head of Community,Director of Brand Partnerships,"~20 employees transparency-first highly engaged community",https://www.linkedin.com/search/results/people/?keywords=dieux+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
amika,49196,Large,Haircare,50–200,Head of Community,VP Marketing,"~80 employees salon + DTC colorful brand",https://www.linkedin.com/search/results/people/?keywords=amika+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
